file,section,variable,data_type,default,description
AUTOSUBMIT,CONFIG,AUTOSUBMIT_VERSION,nonEmptyString,-1.1,
AUTOSUBMIT,CONFIG,MAXWAITINGJOBS,positiveInteger,None,
AUTOSUBMIT,CONFIG,TOTALJOBS,positiveInteger,None,
AUTOSUBMIT,CONFIG,RETRIALS,nonNegativeInteger,0,
AUTOSUBMIT,CONFIG,SAFETYSLEEPTIME,positiveInteger,10,
AUTOSUBMIT,CONFIG,JOB_WALLCLOCK,wallclockFormat,24:00:00,
AUTOSUBMIT,CONFIG,MAX_WALLCLOCK,wallclockFormat,,
AUTOSUBMIT,CONFIG,OUTPUT,string,pdf,
AUTOSUBMIT,CONFIG,RELOAD_WHILE_RUNNING,boolean,TRUE,
AUTOSUBMIT,CONFIG,SAFE_PLACEHOLDERS,arrayOfStrings,,
AUTOSUBMIT,CONFIG,CHUNKS,string,,
AUTOSUBMIT,MAIL,NOTIFICATIONS,boolean,FALSE,
AUTOSUBMIT,MAIL,TO,string or arrayOfStrings,,
AUTOSUBMIT,STORAGE,TYPE,"[“pkl”, “db”] enum",pkl,
AUTOSUBMIT,STORAGE,COPY_REMOTE_LOGS,boolean,TRUE,
AUTOSUBMIT,WRAPPERS,,,,
